"lib_reg","annee","mois","TOT","COMPL_nb","COMPL_pct","COMPL_pct_roll12"
"AUVERGNE-RHÃ”NE-ALPES",2021,1,566,13,2.3,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,2,529,22,4.2,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,3,605,14,2.3,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,4,138,2,1.4,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,5,368,10,2.7,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,6,646,11,1.7,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,7,475,11,2.3,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,8,291,8,2.7,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,9,488,10,2,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,10,456,10,2.2,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,11,447,7,1.6,NA
"AUVERGNE-RHÃ”NE-ALPES",2021,12,219,4,1.8,2.33
"AUVERGNE-RHÃ”NE-ALPES",2022,1,241,5,2.1,2.32
"AUVERGNE-RHÃ”NE-ALPES",2022,2,440,9,2,2.08
"AUVERGNE-RHÃ”NE-ALPES",2022,3,549,7,1.3,1.97
"AUVERGNE-RHÃ”NE-ALPES",2022,4,350,13,3.7,2.1
"AUVERGNE-RHÃ”NE-ALPES",2022,5,461,8,1.7,2.02
"AUVERGNE-RHÃ”NE-ALPES",2022,6,455,12,2.6,2.12
"AUVERGNE-RHÃ”NE-ALPES",2022,7,353,9,2.5,2.13
"AUVERGNE-RHÃ”NE-ALPES",2022,8,246,7,2.8,2.13
"AUVERGNE-RHÃ”NE-ALPES",2022,9,380,12,3.2,2.23
"AUVERGNE-RHÃ”NE-ALPES",2022,10,330,6,1.8,2.2
"AUVERGNE-RHÃ”NE-ALPES",2022,11,429,8,1.9,2.23
"AUVERGNE-RHÃ”NE-ALPES",2022,12,300,8,2.7,2.29
"AUVERGNE-RHÃ”NE-ALPES",2023,1,479,12,2.5,2.32
"AUVERGNE-RHÃ”NE-ALPES",2023,2,418,11,2.6,2.37
"AUVERGNE-RHÃ”NE-ALPES",2023,3,431,12,2.8,2.54
"AUVERGNE-RHÃ”NE-ALPES",2023,4,316,9,2.8,2.47
"AUVERGNE-RHÃ”NE-ALPES",2023,5,379,7,1.8,2.49
"AUVERGNE-RHÃ”NE-ALPES",2023,6,418,11,2.6,2.49
"AUVERGNE-RHÃ”NE-ALPES",2023,7,278,9,3.2,2.53
"AUVERGNE-RHÃ”NE-ALPES",2023,8,209,7,3.3,2.56
"AUVERGNE-RHÃ”NE-ALPES",2023,9,341,7,2.1,2.46
"AUVERGNE-RHÃ”NE-ALPES",2023,10,405,7,1.7,2.44
"AUVERGNE-RHÃ”NE-ALPES",2023,11,379,4,1.1,2.38
"AUVERGNE-RHÃ”NE-ALPES",2023,12,259,0,0,2.21
"AUVERGNE-RHÃ”NE-ALPES",2024,1,423,13,3.1,2.27
"AUVERGNE-RHÃ”NE-ALPES",2024,2,322,10,3.1,2.3
"AUVERGNE-RHÃ”NE-ALPES",2024,3,399,8,2,2.22
"AUVERGNE-RHÃ”NE-ALPES",2024,4,354,5,1.4,2.11
"AUVERGNE-RHÃ”NE-ALPES",2024,5,333,9,2.7,2.18
"AUVERGNE-RHÃ”NE-ALPES",2024,6,377,8,2.1,2.13
"AUVERGNE-RHÃ”NE-ALPES",2024,7,324,3,0.9,1.96
"AUVERGNE-RHÃ”NE-ALPES",2024,8,180,5,2.8,1.93
"AUVERGNE-RHÃ”NE-ALPES",2024,9,363,7,1.9,1.91
"AUVERGNE-RHÃ”NE-ALPES",2024,10,370,13,3.5,2.08
"AUVERGNE-RHÃ”NE-ALPES",2024,11,358,8,2.2,2.18
"AUVERGNE-RHÃ”NE-ALPES",2024,12,265,2,0.8,2.23
"AUVERGNE-RHÃ”NE-ALPES",2025,1,377,13,3.4,2.25
"AUVERGNE-RHÃ”NE-ALPES",2025,2,351,12,3.4,2.28
"AUVERGNE-RHÃ”NE-ALPES",2025,3,381,16,4.2,2.49
"AUVERGNE-RHÃ”NE-ALPES",2025,4,332,12,3.6,2.68
"AUVERGNE-RHÃ”NE-ALPES",2025,5,295,9,3.1,2.71
"AUVERGNE-RHÃ”NE-ALPES",2025,6,308,10,3.2,2.8
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,1,148,6,4.1,3.02
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,2,151,5,3.3,3.04
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,3,147,4,2.7,3.15
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,4,84,2,2.4,3.09
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,5,115,3,2.6,3.18
